scorer,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000
bodyparts,nose,nose,nose,head,head,head,neck,neck,neck,body,body,body,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,311.6366272,335.53302,1,316.3862915,322.3463745,1,319.7511292,307.302887,1,327.2941284,271.695282,1,331.9490662,237.5289001,1
1,302.1802673,331.9060364,1,309.1581726,323.0645142,1,318.662384,309.8449097,1,328.7549133,274.9047241,1,334.1932373,240.3339233,1
2,292.880249,328.9293823,1,303.315094,322.4629822,1,315.3074341,311.5249939,0.999999881,330.6307373,279.8580322,0.999999762,335.5955811,243.7446747,1
3,286.5325012,331.4868774,0.99999994,297.019989,325.3576355,1,309.5344238,316.1880188,1,329.0125122,288.8465576,0.99999994,336.4830627,249.5150604,1
4,280.0973206,335.5396729,1,289.524353,331.0531006,1,303.0058594,321.0178223,0.999999881,325.905426,300.7223206,1,337.2493896,256.1516724,1
5,272.2889709,340.787323,1,283.5341492,335.4163208,0.999999881,296.6583862,327.6170654,0.999999881,320.8458862,307.6031494,1,334.9380493,266.0376892,1
6,263.9831238,345.5505676,1,273.7248535,341.1280212,1,287.2312927,333.7207336,0.999999225,315.4024353,314.7250977,1,336.7617493,276.414978,1
7,256.3647766,350.2626343,1,266.3630981,346.4518433,1,278.2937012,338.4333496,1,307.2850037,321.4927063,1,329.663208,287.1740417,1
8,248.486084,353.6092224,1,256.790863,350.5767517,1,270.3214417,342.8442688,0.999999881,298.540802,327.7831116,1,324.024292,295.9190979,1
9,238.5222778,356.2206116,1,247.250061,352.9338989,1,258.1322327,345.1447754,0.999999881,289.2953186,332.9280396,1,317.5550842,302.8851624,1
10,228.6969757,357.7262268,1,236.2336121,354.9315491,1,247.9948883,349.1836548,0.999999881,279.5157776,336.5256958,1,309.0125732,307.9738159,1
11,218.3291931,357.6207581,1,226.9535217,354.9577942,1,240.0816803,351.2032776,1,269.8414001,340.4149475,1,305.8092041,321.4489441,1
12,210.8506775,358.8768311,1,220.2561646,355.4272156,1,232.6643219,351.6660461,1,261.7463074,342.4441528,1,297.2503052,325.6209717,1
13,204.2600861,364.5153198,1,213.1265869,359.6729431,1,226.3879852,354.7821045,1,256.2999573,344.6331482,1,290.4645386,331.0281677,1
14,201.3944702,371.5743713,1,207.1698456,365.925354,1,219.7759857,359.2001038,1,249.4373016,347.0244446,1,284.2391052,335.4674683,1
15,198.0168762,373.4281006,1,203.8466492,368.8978271,1,214.1473846,361.0037231,1,244.3603516,348.0406799,1,280.3305359,337.3979187,1
16,193.0644226,373.2225342,1,199.7306824,369.4459534,1,211.3004913,363.5939636,1,242.3691864,349.8531189,1,275.7196655,336.9132385,1
17,189.4969788,372.2007141,1,195.8238831,369.5561829,1,207.3835602,363.6333008,0.999999881,239.6949158,350.9943542,1,271.4008789,337.5234375,1
18,184.5574799,369.6700134,1,191.0750885,367.3625793,1,203.0250397,362.6688843,0.99999994,236.4447479,351.2089233,1,267.6335449,336.8563538,1
19,181.4332733,367.7799683,1,186.757431,366.0557556,1,196.7350616,362.6001587,1,230.4757843,350.7499695,1,262.2019348,338.4311829,1
20,177.1381683,366.9872742,1,182.6011353,365.5250549,1,192.647583,362.4262085,1,226.602005,352.7391357,1,256.9062195,342.1225586,1
21,174.9171906,368.9857178,1,179.7622833,366.1971436,1,189.8684082,362.2397766,0.99999994,222.2052765,353.9524231,1,252.8292694,342.362915,1
22,168.7478027,366.4767151,1,173.6690826,366.2108154,1,187.1769257,364.4819946,1,217.3187408,356.2857666,1,249.5922699,346.3713684,1
23,163.7792206,365.3158569,1,169.7220612,367.1293945,1,180.2991333,366.6864014,1,211.1119232,359.8054504,1,244.7000122,349.2069702,1
24,156.2106476,360.4206543,1,162.2021027,364.4902954,1,175.6242371,367.7111511,1,206.7855988,361.2093506,1,236.6009827,352.1660767,1
25,150.3426056,354.0020752,1,155.6419373,358.840332,1,166.9389343,365.1968079,1,197.647995,364.1785889,1,229.69133,356.2123413,1
26,142.8771057,351.5456543,1,147.3494568,356.5731812,1,157.1467743,361.969635,1,190.1711884,364.8081665,1,222.0534363,359.8381653,1
27,137.259613,346.9440918,1,141.7877197,352.4164429,1,151.7840271,358.6844788,1,181.6281128,362.8506165,1,216.8373566,359.2733154,1
28,131.3887482,342.665741,1,136.2423096,348.270874,1,146.9543304,353.921814,1,175.1447296,359.2802429,1,208.8750305,361.2841187,1
29,125.6078033,337.530365,1,131.2055206,343.6903076,1,140.7312469,350.3140259,1,168.5958405,357.5858459,1,201.5512543,364.2802124,1
30,122.9115448,332.032135,1,128.3265076,338.9694214,1,137.9603424,347.4399414,1,161.5448303,356.4335022,1,195.376709,364.0618591,1
31,123.1816177,325.9320679,1,127.544838,334.2440491,1,136.0480499,343.2767639,1,159.9285736,356.900177,1,189.0870667,367.0910034,1
